number_of_elements,capacity,max_weight,min_weight,mean_weight,median_weight,std_weight,weight_range,max_profit,min_profit,mean_profit,median_profit,std_profit,profit_range,renting_ratio,mean_weight_profit_ratio,median_weight_profit_ratio,capacity_mean_weight_ratio,capacity_median_weight_ratio,capacity_std_weight_ratio,std_weight_profit_ratio,weight_profit_correlation,solution_time,ram,cpu_cores,peak_memory,optimality_gap
115,42935520.3,99994805.8,353514.7,50734264.07,55130599.4,28980466.71,99641291.1,99852534,358354.6,50925714.07,51313506.6,28631016.9,99494179.4,0.007331,0.996241,1.074388,0.846283,0.778797,1.481533,1.012205,0.122109,0.000213,4,8,11208,0
628,6689.5,9999.8,14.9,5096.209076,5096.05,2915.751388,9984.9,9978.5,19.6,5050.99172,5036.15,2873.542149,9958.9,0.002109,1.008952,1.011894,1.312642,1.312683,2.294263,1.014689,-0.006898,0.000902,4,8,11208,0
839,49257.8,9987,10.3,4938.391299,4975.3,2958.827046,9976.7,9989,49.7,5015.866627,5019.6,2894.929989,9939.3,0.011705,0.984554,0.991175,9.974463,9.900468,16.647746,1.022072,0.024966,0.001465,4,8,11208,0
1000,8856197380,6685755554,0.935976,1554176635,709485916.6,1731816995,6685755553,6121412885,1.782994,1558614861,710091460.3,1724821537,6121412883,0.005682,0.997152,0.999147,5.698321,12.482556,5.113818,1.004056,0.980621,72.05954,4,8,11208,0.047307625
1200,105660446.5,61126881.99,0.962293,10077884.07,2186794.493,15408764.78,61126881.02,59377982.93,1.982633,9940225.938,2337866.858,15159476.69,59377980.95,0.008858,1.013849,0.93538,10.484388,48.317502,6.857165,1.016444,0.985172,30.928848,4,8,11208,0.026743965
408,81761.9,9973.3,7.4,5080.684314,5156.5,3017.366074,9965.9,10000,8.8,5113.356127,5379.8,2913.414887,9991.2,0.039191,0.99361,0.958493,16.092694,15.856085,27.09711,1.03568,-0.018822,0.000782,4,8,11208,0
1000,9900327589,6456830846,1.09687,1776737727,1145723823,1784353680,6456830845,6613443950,5.013435,1762668615,1168290514,1750471629,6613443945,0.005617,1.007982,0.980684,5.572194,8.641112,5.548411,1.019356,0.979993,87.496237,4,8,11208,0.237101757
188,83525,9984.9,5.5,4904.415426,4915.3,3030.304115,9979.4,9989.2,85.7,4558.35266,4093.15,3017.054789,9903.5,0.097465,1.075918,1.20086,17.030572,16.992859,27.56324,1.004391,0.109014,0.000437,4,8,11208,0
400,930017.1226,711408.2997,1.992534,121533.7625,103501.9372,144862.3805,711406.3072,681881.2892,1.017483,122890.7955,102838.8925,146208.7295,681880.2717,0.01892,0.988957,1.006447,7.652335,8.985504,6.420004,0.990792,0.98428,10.084139,4,8,11208,0
997,3525.5,9992.8,1.1,5061.468806,5158.3,2823.227922,9991.7,9981.8,2.3,5095.047041,5218.3,2826.113063,9979.5,0.000694,0.99341,0.988502,0.696537,0.683462,1.248748,0.998979,-0.035245,0.001515,4,8,11208,0
1312,61014094.1,99973321.9,19052.8,49921065.12,50835147.75,29061648.8,99954269.1,99825002.1,46083.8,49549514.65,49588728.45,29270574.96,99778918.3,0.000939,1.007499,1.025135,1.222211,1.200234,2.099471,0.992862,0.009134,0.002138,4,8,11208,0
800,114595867.8,65106717.72,0.981593,39832170.78,48230459.68,20444847.58,65106716.74,66294500.12,2.149551,40065118.98,48417015.72,20536417.74,66294497.97,0.003575,0.994186,0.996147,2.876968,2.376006,5.605122,0.995541,0.952448,98.482635,4,8,11208,0
400,11827641557,6262123713,1.809989,3970011425,4819715131,2034293586,6262123711,6627965932,2.282985,4021087451,4838294717,2062098231,6627965930,0.007354,0.987298,0.99616,2.979246,2.454013,5.814127,0.986516,0.947889,25.876578,4,8,11208,0.321430239
1197,47398710.3,99920309,7196,50334652.91,49821183.6,28984185.61,99913113,99960031.6,86095.7,49992798.88,50008810.8,28539511.08,99873935.9,0.000792,1.006838,0.996248,0.941672,0.951377,1.63533,1.015581,-0.01497,0.002513,4,8,11208,0
771,87568676,99972461.6,30465.6,50299751.7,50298368.8,28667906.49,99941996,99414032.6,229364.4,48931188.31,47416846.8,29643939.88,99184668.2,0.002321,1.027969,1.06077,1.740937,1.740984,3.054589,0.967075,-0.005986,0.001547,4,8,11208,0
800,10657057820,6668878486,0.915162,3513245087,4731685122,2339367768,6668878485,6599090154,0.916811,3526017810,4758638432,2345033418,6599090153,0.003778,0.996378,0.994336,3.033394,2.252275,4.555529,0.997584,0.967577,292.64495,4,8,11208,10.40378537
600,984029.5474,636999.4131,2.131418,68704.3822,4431.819854,136327.5886,636997.2817,585737.6439,10.214621,67131.06015,4441.084143,130568.8452,585727.4292,0.024431,1.023437,0.997914,14.322661,222.037353,7.218125,1.044105,0.986212,1.117078,4,8,11208,0
1469,7483330.3,99816637.8,115349.9,49498641.85,48944157.7,28315231.27,99701287.9,99958289.1,81.9,50268246.54,49986297.3,28834106.4,99958207.2,0.000101,0.98469,0.979151,0.151183,0.152895,0.264286,0.982005,-0.004349,0.001955,4,8,11208,0
800,952078.7455,686112.1316,2.191032,100172.887,21778.1518,154379.6928,686109.9406,613950.4612,1.796581,100852.9144,21611.50608,155179.0754,613948.6646,0.0118,0.993257,1.007711,9.504356,43.717151,6.167124,0.994849,0.981739,0.00491,4,8,11208,0
229,95535830.8,99629318.8,66489.5,49504895.17,50818271.8,29287088.92,99562829.3,99773756.3,203466.5,51540031.55,55720352.6,28203165.36,99570289.8,0.008094,0.960513,0.912024,1.929826,1.87995,3.262046,1.038433,0.016456,0.000391,4,8,11208,0
1290,2485.3,9984.1,2.3,4992.678682,5017.9,2894.101835,9981.8,9995.5,6.4,4906.13969,4789.6,2911.709472,9989.1,0.000393,1.017639,1.047666,0.497789,0.495287,0.858747,0.993953,0.02385,0.000382,4,8,11208,0
1462,32415014.5,99965560.8,96558.8,49978862.26,49899928.9,28777123.22,99869002,99943453.1,164780.6,49821930.36,51050089.1,28898535.16,99778672.5,0.000445,1.00315,0.97747,0.648574,0.6496,1.126416,0.995799,0.012279,0.002015,4,8,11208,0
122,22396655.1,99824914.7,1570443.8,49170203.72,48266337.75,28373343.55,98254470.9,99959554.7,678324.4,48911850.69,46262590.55,30715041.93,99281230.3,0.003753,1.005282,1.043312,0.455492,0.464022,0.789356,0.923761,0.005789,0.000245,4,8,11208,0
1223,63910922.6,99929461.4,6097.4,49811186.69,49689451.1,29263352.24,99923364,99985251.3,9703.5,50374733.76,50551203.8,29166055.43,99975547.8,0.001037,0.988813,0.982953,1.283064,1.286207,2.183992,1.003336,0.01344,0.001976,4,8,11208,0
1231,38271164.6,99983488.5,78337.5,50320945.12,49959538.1,28697282.81,99905151,99974934.4,7125.3,49453336.26,49768028.1,28761454.47,99967809.1,0.000629,1.017544,1.003848,0.760541,0.766043,1.333616,0.997769,0.02481,0.001942,4,8,11208,0
1200,1161027.589,605749.6259,0.745134,142409.9929,72620.65289,171676.324,605748.8808,631601.7699,2.224278,142183.2603,71091.18346,170977.8186,631599.5456,0.006805,1.001595,1.021514,8.152712,15.987567,6.762887,1.004085,0.981569,48.76381,4,8,11208,0.24812825
187,11849963.3,99821386.2,216345.3,50602849.41,50147571.1,29520709.65,99605040.9,99916363.7,119947.7,51804314.74,52378798.9,29206652.01,99796416,0.001223,0.976808,0.957402,0.234176,0.236302,0.401412,1.010753,0.064678,0.00024,4,8,11208,0
514,64346894.3,99826466.9,19053,48915850.82,49133082.3,28651147.07,99807413.9,99939930.8,44700.5,51429640.06,53109915.1,28871227.39,99895230.3,0.002434,0.951122,0.925121,1.315461,1.309645,2.245875,0.992377,-0.067679,0.000884,4,8,11208,0
600,961935.7648,625193.408,2.096019,135910.4063,62247.88225,167990.3374,625191.312,655091.3797,3.304387,136174.4712,61565.57473,170496.6864,655088.0753,0.011773,0.998061,1.011083,7.07772,15.453309,5.726137,0.9853,0.98139,5.180434,4,8,11208,0.001096126
235,27141.7,9885.1,24.6,4868.11617,4932.4,2765.531785,9860.5,9979.7,14.2,4698.364681,4747.8,3026.790211,9965.5,0.024582,1.03613,1.038881,5.575401,5.502737,9.814279,0.913685,-0.097157,0.00057,4,8,11208,0
800,11659080125,6435157008,0.825631,3455479089,4640563971,2303229938,6435157008,7008221118,4.197545,3523841731,4728117307,2349432358,7008221114,0.004136,0.9806,0.981482,3.374085,2.512427,5.062057,0.980335,0.961546,112.948908,4,8,11208,6.948547516
440,5717997.1,99790147.8,356976.4,47765036.01,46650614.25,30350040.21,99433171.4,98662509,411732,47579010.23,46829808.4,27768157.93,98250777,0.000273,1.00391,0.996174,0.119711,0.122571,0.188402,1.09298,-0.02638,0.000556,4,8,11208,0
1383,50400708.3,99966650.5,23553.4,51022668.53,51742690.1,28344113.17,99943097.1,99985929,49412.6,49813861.59,49647509.9,28276518.17,99936516.4,0.000732,1.024266,1.042201,0.98781,0.974064,1.778172,1.00239,-0.039774,0.002703,4,8,11208,0
1000,10208196781,6442753636,5.026909,1095837932,315142108.6,1569404165,6442753631,6343046335,13.639226,1084509203,311160530.4,1545769415,6343046322,0.009413,1.010446,1.012796,9.315426,32.39236,6.504505,1.01529,0.984997,57.745326,4,8,11208,0.011636017
1369,54374.2,9998.5,14.2,4962.085026,4931.9,2863.62279,9984.3,9985.7,3.8,5059.469028,5090.4,2855.698499,9981.9,0.00785,0.980752,0.968863,10.957934,11.025001,18.987906,1.002775,-0.048651,0.005789,4,8,11208,0
970,30595145.4,99969890,42128.3,49961661.89,51033946.95,28525635.57,99927761.7,99975700.9,11599.5,50496119.99,51838699.15,28705656.21,99964101.4,0.000625,0.989416,0.984476,0.612372,0.599506,1.072549,0.993729,0.014742,0.001763,4,8,11208,0
95,55840796.8,99905289.2,761117.6,52046654.58,56850792.8,30330840.87,99144171.6,99449415.6,1448992.8,50502096.17,52894362,29835520.6,98000422.8,0.011639,1.030584,1.074799,1.072899,0.982234,1.841057,1.016602,0.059906,0.00013,4,8,11208,0
400,105014112.9,56120382.87,0.752086,5137604.42,107488.4944,11776357.39,56120382.11,55951826.98,3.060044,5170958.184,107120.8268,11969876.85,55951823.92,0.050771,0.99355,1.003432,20.440288,976.980034,8.917368,0.983833,0.987392,9.218927,4,8,11208,0.060032867
400,6854837514,6013171417,1.851173,998335844.9,229798796.9,1541414370,6013171415,6215883645,1.002647,1002042116,203765605.7,1552432664,6215883644,0.017102,0.996301,1.12776,6.866264,29.829736,4.447109,0.992903,0.986342,13.216591,4,8,11208,0.047964751
600,123997892.2,66444323.35,9.949624,17311261.61,11537453.75,17158468.59,66444313.4,61169646.46,0.870158,17593270.55,11644040.3,17661327.13,61169645.59,0.011747,0.983971,0.990846,7.162845,10.747423,7.226629,0.971528,0.980063,55.909451,4,32,11764,0
11,96980190.6,93762993.1,15873158.9,60821697.04,68743673.1,29893274.45,77889834.2,63927626.2,493748.9,40104245.99,51974188.5,22608590.53,63433877.3,0.219837,1.51659,1.32265,1.5945,1.410751,3.244214,1.322209,-0.121685,1.80E-05,4,32,11764,0
170,191.6,9854.6,56.3,4666.714706,4326.25,2996.651754,9798.3,9962.4,40.8,4663.447647,4331.55,2917.867147,9921.6,0.000242,1.000701,0.998776,0.041057,0.044288,0.063938,1.027001,0.083639,0.000198,4,32,11764,0
800,115328502.6,76728617.93,0.887419,53934458.25,59558256.34,18866045.11,76728617.04,79526509.3,7.802203,54407780.74,59443270.18,19039267.27,79526501.49,0.00265,0.9913,1.001934,2.138308,1.936398,6.11302,0.990902,0.90875,130.850794,4,32,11764,5.132764207
1200,122373914.7,61430752.03,0.920658,6055349.384,205057.0679,12920272.59,61430751.11,58523213.13,1.800495,6043122.447,209045.0641,12810707.46,58523211.33,0.016875,1.002023,0.980923,20.209224,596.779794,9.471465,1.008553,0.989023,7.89174,4,32,11764,0.002550514
747,9761.7,99895838.7,35552.8,50787375.18,52424713.6,29875370.99,99860285.9,99978852.1,74009.9,49768570,49604669.1,29555174.5,99904842.2,0,1.020471,1.05685,0.000192,0.000186,0.000327,1.010834,-0.015677,0.000798,4,32,11764,0
1055,56126,9975.8,2.3,5064.846825,5154,2927.721037,9973.5,9992.5,6.8,5041.624455,4849.7,2874.684694,9985.7,0.010552,1.004606,1.062746,11.08148,10.889794,19.170542,1.018449,-0.01483,0.002415,4,32,11764,0
1000,112697946.9,64058552.58,1.764586,6963129.047,532569.4315,13560550.54,64058550.81,63684617.26,1.061063,6988851.312,523301.3343,13571964.01,63684616.2,0.016125,0.99632,1.017711,16.184957,211.611745,8.310721,0.999159,0.989612,38.862369,4,32,11764,0.010987421
798,38261716.3,99901303.8,133846.9,50488853.52,52361011.55,28740922.5,99767456.9,99980231.3,146628,49797139.63,49653653.05,29664627.63,99833603.3,0.000963,1.013891,1.054525,0.757825,0.730729,1.331263,0.968862,-0.070856,0.00121,4,32,11764,0
1000,11557378763,5991403001,5.965151,877940691.2,155153450.1,1471505960,5991402995,6184856317,1.64439,873837343.7,145343024.3,1469134914,6184856315,0.013226,1.004696,1.067498,13.164191,74.489989,7.854116,1.001614,0.986491,81.042894,4,32,11764,0.01368233
555,58712350.4,99992648.7,335895.7,51813479.89,52986243.2,29572329.37,99656753,99797159.4,135231.2,48593580.17,47850717.5,28120163.35,99661928.2,0.002177,1.066262,1.107324,1.133148,1.108068,1.985381,1.051641,-0.018924,0.000853,4,32,11764,0
346,86058355.2,99919843.1,492322.2,51077522.54,51062533.35,29758711.02,99427520.9,99758082.9,194737.1,50759083.05,51805698.45,28495423.65,99563345.8,0.0049,1.006274,0.985655,1.684858,1.685352,2.891871,1.044333,0.073284,0.000822,4,32,11764,0
238,59562.6,9974,61.6,5153.517227,5378.5,2875.967894,9912.4,9986.3,15.9,5174.520168,5215.1,2971.011179,9970.4,0.048364,0.995941,1.031332,11.55766,11.074203,20.710454,0.96801,0.013637,0.001026,4,32,11764,0
1455,31028.5,9995.9,1.1,5061.867423,5207.3,2914.500762,9994.8,9995.3,3,4892.964192,4688.6,2897.627731,9992.3,0.004358,1.03452,1.11063,6.129852,5.958654,10.646249,1.005823,-0.005345,0.0023,4,32,11764,0
424,9468615.7,99802081.5,27972.2,51141628.23,51610143.35,28734912.75,99774109.3,99413029.6,1031127.1,49729544.28,51196304,28320466.05,98381902.5,0.000449,1.028395,1.008083,0.185145,0.183464,0.329516,1.014634,-0.029494,0.000629,4,32,11764,0
1000,1150581.797,615950.1165,2.183894,100270.746,23432.66167,152776.4019,615947.9326,651201.925,2.03646,101845.5885,22694.66895,156108.8672,651199.8885,0.011297,0.984537,1.032518,11.474751,49.101626,7.531149,0.978653,0.982865,1.729217,4,32,11764,0.002003277
115,42935520.3,99994805.8,353514.7,50734264.07,55130599.4,28980466.71,99641291.1,99852534,358354.6,50925714.07,51313506.6,28631016.9,99494179.4,0.007331,0.996241,1.074388,0.846283,0.778797,1.481533,1.012205,0.122109,0.000213,4,32,11764,0
628,6689.5,9999.8,14.9,5096.209076,5096.05,2915.751388,9984.9,9978.5,19.6,5050.99172,5036.15,2873.542149,9958.9,0.002109,1.008952,1.011894,1.312642,1.312683,2.294263,1.014689,-0.006898,0.000904,4,32,11764,0
839,49257.8,9987,10.3,4938.391299,4975.3,2958.827046,9976.7,9989,49.7,5015.866627,5019.6,2894.929989,9939.3,0.011705,0.984554,0.991175,9.974463,9.900468,16.647746,1.022072,0.024966,0.001469,4,32,11764,0
1000,8856197380,6685755554,0.935976,1554176635,709485916.6,1731816995,6685755553,6121412885,1.782994,1558614861,710091460.3,1724821537,6121412883,0.005682,0.997152,0.999147,5.698321,12.482556,5.113818,1.004056,0.980621,72.600221,4,32,11764,0.047307625
1200,105660446.5,61126881.99,0.962293,10077884.07,2186794.493,15408764.78,61126881.02,59377982.93,1.982633,9940225.938,2337866.858,15159476.69,59377980.95,0.008858,1.013849,0.93538,10.484388,48.317502,6.857165,1.016444,0.985172,31.080645,4,32,11764,0.026743965
408,81761.9,9973.3,7.4,5080.684314,5156.5,3017.366074,9965.9,10000,8.8,5113.356127,5379.8,2913.414887,9991.2,0.039191,0.99361,0.958493,16.092694,15.856085,27.09711,1.03568,-0.018822,0.000778,4,32,11764,0
1000,9900327589,6456830846,1.09687,1776737727,1145723823,1784353680,6456830845,6613443950,5.013435,1762668615,1168290514,1750471629,6613443945,0.005617,1.007982,0.980684,5.572194,8.641112,5.548411,1.019356,0.979993,87.586688,4,32,11764,0.237101757
188,83525,9984.9,5.5,4904.415426,4915.3,3030.304115,9979.4,9989.2,85.7,4558.35266,4093.15,3017.054789,9903.5,0.097465,1.075918,1.20086,17.030572,16.992859,27.56324,1.004391,0.109014,0.000446,4,32,11764,0
400,930017.1226,711408.2997,1.992534,121533.7625,103501.9372,144862.3805,711406.3072,681881.2892,1.017483,122890.7955,102838.8925,146208.7295,681880.2717,0.01892,0.988957,1.006447,7.652335,8.985504,6.420004,0.990792,0.98428,10.112877,4,32,11764,0
997,3525.5,9992.8,1.1,5061.468806,5158.3,2823.227922,9991.7,9981.8,2.3,5095.047041,5218.3,2826.113063,9979.5,0.000694,0.99341,0.988502,0.696537,0.683462,1.248748,0.998979,-0.035245,0.001521,4,32,11764,0
1312,61014094.1,99973321.9,19052.8,49921065.12,50835147.75,29061648.8,99954269.1,99825002.1,46083.8,49549514.65,49588728.45,29270574.96,99778918.3,0.000939,1.007499,1.025135,1.222211,1.200234,2.099471,0.992862,0.009134,0.002159,4,32,11764,0
800,114595867.8,65106717.72,0.981593,39832170.78,48230459.68,20444847.58,65106716.74,66294500.12,2.149551,40065118.98,48417015.72,20536417.74,66294497.97,0.003575,0.994186,0.996147,2.876968,2.376006,5.605122,0.995541,0.952448,99.040546,4,32,11764,0
400,11827641557,6262123713,1.809989,3970011425,4819715131,2034293586,6262123711,6627965932,2.282985,4021087451,4838294717,2062098231,6627965930,0.007354,0.987298,0.99616,2.979246,2.454013,5.814127,0.986516,0.947889,26.031844,4,32,11764,0.321430239
1197,47398710.3,99920309,7196,50334652.91,49821183.6,28984185.61,99913113,99960031.6,86095.7,49992798.88,50008810.8,28539511.08,99873935.9,0.000792,1.006838,0.996248,0.941672,0.951377,1.63533,1.015581,-0.01497,0.002516,4,32,11764,0
771,87568676,99972461.6,30465.6,50299751.7,50298368.8,28667906.49,99941996,99414032.6,229364.4,48931188.31,47416846.8,29643939.88,99184668.2,0.002321,1.027969,1.06077,1.740937,1.740984,3.054589,0.967075,-0.005986,0.001344,4,32,11764,0
800,10657057820,6668878486,0.915162,3513245087,4731685122,2339367768,6668878485,6599090154,0.916811,3526017810,4758638432,2345033418,6599090153,0.003778,0.996378,0.994336,3.033394,2.252275,4.555529,0.997584,0.967577,294.577033,4,32,11764,10.40378537
600,984029.5474,636999.4131,2.131418,68704.3822,4431.819854,136327.5886,636997.2817,585737.6439,10.214621,67131.06015,4441.084143,130568.8452,585727.4292,0.024431,1.023437,0.997914,14.322661,222.037353,7.218125,1.044105,0.986212,1.129361,4,32,11764,0
1469,7483330.3,99816637.8,115349.9,49498641.85,48944157.7,28315231.27,99701287.9,99958289.1,81.9,50268246.54,49986297.3,28834106.4,99958207.2,0.000101,0.98469,0.979151,0.151183,0.152895,0.264286,0.982005,-0.004349,0.001993,4,32,11764,0
800,952078.7455,686112.1316,2.191032,100172.887,21778.1518,154379.6928,686109.9406,613950.4612,1.796581,100852.9144,21611.50608,155179.0754,613948.6646,0.0118,0.993257,1.007711,9.504356,43.717151,6.167124,0.994849,0.981739,0.004979,4,32,11764,0
229,95535830.8,99629318.8,66489.5,49504895.17,50818271.8,29287088.92,99562829.3,99773756.3,203466.5,51540031.55,55720352.6,28203165.36,99570289.8,0.008094,0.960513,0.912024,1.929826,1.87995,3.262046,1.038433,0.016456,0.000389,4,32,11764,0
1290,2485.3,9984.1,2.3,4992.678682,5017.9,2894.101835,9981.8,9995.5,6.4,4906.13969,4789.6,2911.709472,9989.1,0.000393,1.017639,1.047666,0.497789,0.495287,0.858747,0.993953,0.02385,0.000385,4,32,11764,0
1462,32415014.5,99965560.8,96558.8,49978862.26,49899928.9,28777123.22,99869002,99943453.1,164780.6,49821930.36,51050089.1,28898535.16,99778672.5,0.000445,1.00315,0.97747,0.648574,0.6496,1.126416,0.995799,0.012279,0.002018,4,32,11764,0
122,22396655.1,99824914.7,1570443.8,49170203.72,48266337.75,28373343.55,98254470.9,99959554.7,678324.4,48911850.69,46262590.55,30715041.93,99281230.3,0.003753,1.005282,1.043312,0.455492,0.464022,0.789356,0.923761,0.005789,0.000259,4,32,11764,0
1223,63910922.6,99929461.4,6097.4,49811186.69,49689451.1,29263352.24,99923364,99985251.3,9703.5,50374733.76,50551203.8,29166055.43,99975547.8,0.001037,0.988813,0.982953,1.283064,1.286207,2.183992,1.003336,0.01344,0.001979,4,32,11764,0
1231,38271164.6,99983488.5,78337.5,50320945.12,49959538.1,28697282.81,99905151,99974934.4,7125.3,49453336.26,49768028.1,28761454.47,99967809.1,0.000629,1.017544,1.003848,0.760541,0.766043,1.333616,0.997769,0.02481,0.001958,4,32,11764,0
1200,1161027.589,605749.6259,0.745134,142409.9929,72620.65289,171676.324,605748.8808,631601.7699,2.224278,142183.2603,71091.18346,170977.8186,631599.5456,0.006805,1.001595,1.021514,8.152712,15.987567,6.762887,1.004085,0.981569,49.200123,4,32,11764,0.24812825
187,11849963.3,99821386.2,216345.3,50602849.41,50147571.1,29520709.65,99605040.9,99916363.7,119947.7,51804314.74,52378798.9,29206652.01,99796416,0.001223,0.976808,0.957402,0.234176,0.236302,0.401412,1.010753,0.064678,0.000239,4,32,11764,0
514,64346894.3,99826466.9,19053,48915850.82,49133082.3,28651147.07,99807413.9,99939930.8,44700.5,51429640.06,53109915.1,28871227.39,99895230.3,0.002434,0.951122,0.925121,1.315461,1.309645,2.245875,0.992377,-0.067679,0.000883,4,32,11764,0
600,961935.7648,625193.408,2.096019,135910.4063,62247.88225,167990.3374,625191.312,655091.3797,3.304387,136174.4712,61565.57473,170496.6864,655088.0753,0.011773,0.998061,1.011083,7.07772,15.453309,5.726137,0.9853,0.98139,5.241269,4,32,11764,0.001096126
235,27141.7,9885.1,24.6,4868.11617,4932.4,2765.531785,9860.5,9979.7,14.2,4698.364681,4747.8,3026.790211,9965.5,0.024582,1.03613,1.038881,5.575401,5.502737,9.814279,0.913685,-0.097157,0.000573,4,32,11764,0
